index,Latest Revenue,Previous Quarter,3 Quarters Revenue,4 Quarters Revenue,Latest Gross Profit,Previous Gross Profit, 3 Quarters Gross Profit,4 Quarters Gross Profit,Latest Net Income,Previous Net Income,3 Quarters Net Income,4 Quarters Net Income,Market Cap,Sector,Next Earnings,Ticker,P/E Ratio TTM,Price to Sales TTM,Price to Cash Flow MRQ,Price to Free Cash Flow TTM,Price to Book MRQ,Price to Tangible Book MRQ,Gross margin TTM,Gross Margin 5YA,Operating margin TTM,Operating margin 5YA,Pretax margin TTM,Pretax margin 5YA,Net Profit margin TTM,Net Profit margin 5YA,Revenue/Share TTM,Basic EPS ANN,Diluted EPS ANN,Book Value/Share MRQ,Tangible Book Value/Share MRQ,Cash/Share MRQ,Cash Flow/Share TTM,Return on Equity TTM,Return on Equity 5YA,Return on Assets TTM,Return on Assets 5YA,Return on Investment TTM,Return on Investment 5YA,EPS(MRQ) vs Qtr. 1 Yr. Ago MRQ,EPS(TTM) vs TTM 1 Yr. Ago TTM,5 Year EPS Growth 5YA,Sales (MRQ) vs Qtr. 1 Yr. Ago MRQ,Sales (TTM) vs TTM 1 Yr. Ago TTM,5 Year Sales Growth 5YA,5 Year Capital Spending Growth 5YA,Quick Ratio MRQ,Current Ratio MRQ,LT Debt to Equity MRQ,Total Debt to Equity MRQ,Asset Turnover TTM,Inventory Turnover TTM,Revenue/Employee TTM,Net Income/Employee TTM,Receivable Turnover TTM,Dividend Yield ANN,Dividend Yield 5 Year Avg. 5YA,Dividend Growth Rate ANN,Payout Ratio TTM,Assets Current,Assets Previous,3 Quarter Assets,4 Quarter Assets,Latest Equity,Previous Quarter Equity,3 Quarter Equity,4 Quarter Equity,Month,YTD,Year,ThreeYear,3 Quarters Gross Profit,Sales Growth One Year,Revenue Growth Year,Revenue Growth Quarter,Gross Margin Quarter,Gross Margin Year,Operating Margin Quarter,Asset Turnover Quarter,Asset Turnover Year,Equity Growth Quarter,revenue_growth_score,gross_margin_score,assets_turnover_score,operating_margin_score,size_score_score,rev_score,mar_score,style_score,five_year_growth,five_year_margin,equity_growth_score,pbratio_score,psratio_score,pcf_score,SalesOneYear_score,peratio_score,combined_alpha
Lululemon Athletica,2129.11,1450.42,1450.62,1226.46,1236.17,1236.17,842.69,1236.17,590.56,257.95,291.03,193.82,34950000000.0,Consumer Discretionary,Jun 02 2022,LULU,36.34,5.35,33.65,33.65,13.3,14.67,57.68%,55.95,21.31%,20.43,21.32%,20.54%,15.59%,14.67%,48.02,7.52,7.49,20.49,17.07,9.42,9.21,36.81,31.44,21.37,20.33%,28.52%,25.74%,33.21%,66.7%,27.64,23.1%,42.14%,21.69,21.42,1.17,1.86,0%,0%,1.37,3.28,215.75K,33.63K,89.76,0.0,0.0,0.0,0%,4942.48,4942.48,4405.1,4329.83,2740.05,2658.45,2671.17,2639.86,-20.57,-25.18,-9.05,68.63,1236.17,23.1,0.7359799748870735,0.46792653162532233,0.5806041021835415,0.7903129650082074,0.27737411406644086,0.28718511084853493,0.21098078967104233,0.030694577667437932,99.31506849315068,63.013698630136986,89.26940639269407,80.82191780821918,59.589041095890416,94.02985074626866,94.02985074626866,188.05970149253733,91.32420091324201,72.6027397260274,71.67487684729063,89.26940639269407,76.02739726027397,66.66666666666666,97.71689497716895,82.64840182648402,38213.11382892541
Nvidia Corp,7643.0,7103.0,6507.0,5661.0,4999,4999,4215,4999,2970,2671,2444,1956,435170000000.0,Information Technology,May 25 2022,NVDA,44.05,15.76,54.85,54.85,15.95,21.29,64.93%,62.73,37.31%,32.18,36.94%,32.15%,36.24%,31.03%,10.61,3.91,3.85,10.62,7.95,8.46,4.31,44.84,37.95,26.73,24.13%,30.14%,27.28%,105.46%,123.34%,43.07,52.77%,61.4%,31.25,40.86,6.05,6.65,41.13%,41.13%,0.74,4.26,1.20M,433.99K,7.6,0.09,0.15,1.61,4.09%,44187.0,44187.0,38650,30796,26612.0,23798.0,21147,18774,-16.71,-39.8,24.31,342.1,4999,52.77,0.350114820703056,0.07602421512037168,0.6540625408870863,0.7429590547670357,0.3885908674604213,0.11531295026440658,0.10151552869999472,0.11824523069165475,78.31050228310502,70.09132420091323,57.99086757990868,92.92237442922374,98.40182648401826,87.5,71.5909090909091,159.0909090909091,96.57534246575342,79.45205479452055,91.62561576354679,91.55251141552512,97.94520547945206,85.61643835616438,89.95433789954338,86.98630136986301,37582.20629944767
Cadence Design System Inc,901.77,773.04,750.89,728.28,803.92,803.92,674.31,803.92,318.93,195.68,194.03,185.44,40030000000.0,Information Technology,Jul 25 2022,CDNS,50.91,11.92,36.35,32.39,13.62,23.24,89.83%,88.63,28.35%,21.81,27.77%,21.27%,23.59%,22.56%,11.34,2.54,2.5,10.01,5.87,4.12,3.18,28.07,31.66,17.73,17.67%,22.41%,23.04%,27.2%,14.63%,29.05,22.52%,12.6%,10.47,4.48,1.69,1.81,12.6%,12.6%,0.75,3.44,339.14K,80.01K,8.12,0.0,0.0,0.0,0%,4395.07,4395.07,4213.88,4122.55,2760.18,2740.68,2631.26,2516.74,-10.77,-26.39,9.02,97.78,803.92,22.52,0.23821881693854013,0.16652437131325679,0.8914911784601395,1.0195625844171492,0.3536711134768289,0.136785079646058,0.11960294906186553,0.007115022549148387,92.23744292237443,92.23744292237443,67.8082191780822,90.6392694063927,64.38356164383562,77.27272727272727,97.72727272727273,175.0,71.00456621004567,98.40182648401826,52.70935960591133,89.72602739726028,94.06392694063926,71.23287671232876,83.10502283105022,90.18264840182648,37130.320309512565
Pinduoduo,27230.86,21505.76,23046.22,22167.1,20715.35,20715.35,15148.33,20715.35,6906.97,2139.27,1997.48,-4146.96,48790000000.0,Consumer Discretionary,May 25 2022,PDD,50.65,3.51,12.93,11.45,5.61,4.43,66.24%,69.28,7.34%,-11.3,10.33%,-7.65%,8.27%,-8.63%,10.06,0.92,0.81,6.88,6.81,8.51,-,11.48,-12.27,4.57,-4.47%,9.56%,-10.12%,509.15%,184.56%,0.0,2.57%,57.92%,184.41,327.55,1.72,1.72,15.69%,15.69%,0.55,36.61,1.42M,117.83K,16.18,0.0,0.0,0.0,0%,181209.72,181209.72,156739.76,153419.85,75114.55,68107.97,64897.91,62358.32,-17.22,-40.05,-72.22,56.03,20715.35,2.57,0.22843583508893822,0.26621240077077035,0.760730656321541,0.8819739533628227,0.2536449454773004,0.10018174889661915,0.08640995269643004,0.10287459749571161,96.57534246575342,81.27853881278538,49.77168949771689,77.3972602739726,72.3744292237443,73.13432835820896,97.01492537313433,170.1492537313433,100.0,85.61643835616438,90.39408866995073,69.40639269406392,58.675799086758,33.789954337899545,81.9634703196347,89.95433789954338,36323.258513425186
Hershey Co,2666.22,2326.13,2359.84,1989.42,1245.51,1245.51,1061.55,1245.51,708.4,374.15,553.87,451.8,42160000000.0,Consumer Staples,Jul 28 2022,HSY,26.67,4.57,46.8,47.29,14.65,-,45.46%,45.6,22.35%,19.68,20.99%,17.8%,17.34%,14.33%,45.03,10.11,7.11,14.18,-9.8,1.64,9.39,62.46,72.29,16.45,15.05%,21.12%,20.8%,35.63%,15.97%,16.29,16.13%,11.1%,3.81,12.97,0.56,0.96,140.23%,170.28%,0.95,5.25,562.07K,97.44K,12.43,1.74,2.08,7.36,43.72%,10645.04,10645.04,9439.18,8883.86,2915.55,2757.23,2528.29,2265.05,-0.03,16.77,32.03,75.82,1245.51,16.13,0.3401996561811984,0.14620421042676018,0.4671444967031978,0.5333170620481908,0.2656945038293914,0.16697729646859005,0.14625919677145413,0.05741994683069608,90.8675799086758,49.77168949771689,75.34246575342466,79.22374429223744,67.12328767123287,100.0,81.81818181818183,181.8181818181818,36.757990867579906,60.50228310502283,83.2512315270936,90.41095890410958,71.57534246575342,81.05022831050228,89.72602739726028,68.4931506849315,35868.35614393479
Tesla Motors,18756.0,17719.0,13757.0,11958.0,5460,5460,3660,5460,3603,2613,2004,1312,740470000000.0,Consumer Discretionary,Jul 27 2022,TSLA,95.94,11.82,211.13,106.33,21.57,21.87,27.1%,21.35,15.33%,4.49,15.17%,2.53%,13.6%,2.2%,54.97,5.6,4.9,32.9,32.46,17.39,10.28,29.42,5.64,14.22,1.68%,21.17%,2.52%,640.71%,645.57%,0.0,80.54%,73.04%,50.37,40.95,1.04,1.35,9.25%,14.12%,1.05,8.38,626.35K,85.20K,29.61,0.0,0.0,0.0,0%,66038.0,66038.0,57834,55146,34085.0,30189.0,27053,24804,-19.32,-25.5,27.57,1543.74,5460,80.54,0.5684897139989965,0.05852474744624415,0.291106845809341,0.35118186203569707,0.19209852847088932,0.18934552833217239,0.15695508646536843,0.12905362880519394,72.3744292237443,22.37442922374429,81.05022831050228,66.89497716894978,98.85844748858447,91.04477611940298,52.23880597014925,143.28358208955223,98.40182648401826,28.08219178082192,92.11822660098522,93.83561643835617,93.60730593607306,99.08675799086758,95.8904109589041,96.80365296803653,35733.81766852357
Qualcomm Inc,11164.0,10705.0,9336.0,8060.0,6516,6516,5399,6516,3838,3863,2893,2188,147460000000.0,Information Technology,Jul 20 2022,QCOM,13.35,3.72,25.9,35.37,10.98,30.38,58.51%,56.45,32.55%,21.79,32.68%,22.43%,28.42%,13.82%,34.37,8,7.87,11.88,4.29,10.29,11.22,107.54,26.1,27.39,7.75%,37.84%,10.09%,68.12%,39.96%,15.62,40.69%,33.51%,7.34,28.49,1.27,1.61,91.5%,117.65%,0.96,4.51,872.56K,247.96K,10.57,2.3,2.75,3.06,28.23%,44302.0,44302.0,41240,38769,13328.0,11333.0,9950,8177,-0.3,-26.2,5.13,57.21,6516,40.69,0.38511166253101736,0.042877160205511446,0.5836617699749194,0.6637972749267795,0.3437835901110713,0.16799843498412412,0.1477171835733526,0.17603458925262508,67.12328767123287,63.926940639269404,75.57077625570776,90.18264840182648,91.55251141552512,88.63636363636364,57.95454545454546,146.5909090909091,56.16438356164384,73.97260273972603,93.8423645320197,84.47488584474885,61.757990867579906,55.593607305936075,91.32420091324201,27.85388127853881,35532.40817991645
Coca Cola Co,10491.0,9464.0,10042.0,10129.0,6400,6400,6065,6400,3418,2278,2940,3090,260320000000.0,Consumer Staples,Jul 27 2022,KO,25.81,6.61,66.23,91.61,10.67,-,60.27%,60.88,29.22%,24.85,32.7%,26.79%,25.77%,21.14%,9.23,2.26,2.25,5.74,-2.28,2.39,2.7,45.61,39.57,11.24,8.71%,14.28%,12.41%,23.11%,42.06%,8.54,16.31%,20.02%,-1.58,-9.58,0.98,1.18,149.13%,167.84%,0.44,4.49,507.92K,130.91K,9.55,2.88,3.0,2.74,71.29%,94064.0,94064.0,90606,90194,24845.0,22999.0,22179,22249,1.08,10.99,20.08,32.55,6400,16.31,0.03573896732155198,0.10851648351648352,0.6100467067009818,0.637990330459054,0.3258030692974931,0.0743536315699949,0.0710969836139933,0.08026435931997043,85.15981735159818,66.89497716894978,34.70319634703196,88.58447488584474,96.57534246575342,57.57575757575758,90.9090909090909,148.4848484848485,7.9908675799086755,78.76712328767124,86.94581280788178,84.24657534246576,81.9634703196347,89.26940639269407,41.32420091324201,66.21004566210046,35230.602809251846
Home Depot,38908.0,35719.0,36820.0,41118.0,13145,13145,12563,13145,5929,4825,5795,6639,299760000000.0,Consumer Discretionary,Aug 16 2022,HD,18.1,1.93,41.98,71.32,0.0,-,33.58%,33.98,15.2%,14.5,14.32%,13.56%,10.83%,10.01%,145.58,15.59,15.53,-1.65,-8.86,2.75,18.52,84712.82,5599.44,22.15,22.53%,36.31%,35.1%,6.12%,14.89%,19.22,3.75%,7.93%,9.83,9.62,0.28,1.11,-,-,2.05,4.56,310.98K,33.67K,40.36,2.66,2.05,17.01,31.54%,76567.0,76567.0,73031,70769,-1709.0,-1696.0,1035,2069,-2.79,-28.67,-8.53,53.88,13145,3.75,-0.05374775037696386,0.08928021501161847,0.33784825742777835,0.3446399895126667,0.15238511360131593,0.3387708368705404,0.3320947666749383,0.0076650943396226415,81.5068493150685,31.963470319634702,91.55251141552512,55.25114155251142,97.03196347031964,25.37313432835821,50.74626865671642,76.11940298507463,69.29223744292237,43.37899543378995,52.95566502463054,3.4246575342465753,32.76255707762557,76.48401826484019,16.894977168949772,41.78082191780822,35094.75848539205
Adv Micro Device,5887.0,4826.0,4313.0,3850.0,2818,2818,2086,2818,945,1231,923,831,159440000000.0,Information Technology,Jul 26 2022,AMD,35.92,8.27,48.45,47.11,2.82,38.02,48.53%,43.39,20.82%,13.36,20.78%,12.63%,17.94%,11.57%,14.82,2.61,2.57,34.16,2.53,4.03,3.38,10.98,35.68,8.8,16.68%,9.88%,25.95%,23.64%,13.79%,0.0,70.89%,65.26%,30.92,31.35,1.96,2.4,2.67%,3.23%,0.49,4.76,1.22M,218.45K,6.45,0.0,0.0,0.0,0%,66915.0,66915.0,11153,10691,55333.0,7497.0,7136,7065,-11.33,-40.0,12.38,208.8,2818,70.89,0.5290909090909091,0.21985080812266888,0.4786818413453372,0.5971604153422335,0.1605231866825208,0.05865152307653989,0.047014869610700144,6.380685607576364,95.2054794520548,52.51141552511416,25.799086757990867,58.675799086758,93.15068493150685,95.45454545454545,50.0,145.45454545454544,96.34703196347031,57.077625570776256,99.75369458128078,46.118721461187214,86.5296803652968,82.64840182648402,95.4337899543379,82.1917808219178,34858.03646833406
